Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Ocean Life,,,,,,2,2,4,Across,COAST,Land bordering the ocean,,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
,,Crossword,Ocean Life,,,,,,6,3,6,Across,ORCA,Black and white ocean predator,,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
,,Crossword,Ocean Life,,,,,,0,4,7,Across,SEA,"Vast body of saltwater, smaller than an ocean",,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
,,Crossword,Ocean Life,,,,,,4,5,8,Across,SQUID,Ten-armed ocean cephalopod,,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
,,Crossword,Ocean Life,,,,,,0,7,10,Across,REEF,Underwater ridge of rock or coral,,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
,,Crossword,Ocean Life,,,,,,6,8,13,Across,SEAL,Fin-footed ocean mammal,,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
,,Crossword,Ocean Life,,,,,,2,10,14,Across,SHRIMP,Small edible ocean crustacean,,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
,,Crossword,Ocean Life,,,,,,9,0,3,Down,CORAL,Marine invertebrate forming reefs,,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
,,Crossword,Ocean Life,,,,,,2,2,4,Down,CRAB,Ten-legged ocean crustacean,,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
,,Crossword,Ocean Life,,,,,,4,2,5,Down,ABYSS,Deepest ocean zone,,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
,,Crossword,Ocean Life,,,,,,0,4,7,Down,SHARK,Feared ocean predator,,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
,,Crossword,Ocean Life,,,,,,9,6,9,Down,EEL,Snake-like ocean fish,,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
,,Crossword,Ocean Life,,,,,,3,7,11,Down,FISH,Gilled ocean creature,,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
,,Crossword,Ocean Life,,,,,,7,7,12,Down,KELP,Large brown ocean seaweed,,,,,PLANKTON.C|......C..O|..COAST..R|..R.B.ORCA|SEA.Y.P..L|H.B.SQUID.|A...S.S..E|REEF...K.E|K..I..SEAL|...S...L..|..SHRIMP..
