Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Canada,,,,,,1,2,4,Across,CANUCK,Nickname for a Canadian,,,,,INUKSHUK.R.|.....O...O.|.CANUCK..C.|.....K.C.K.|.MAPLE.N.I.|O..O.Y.T.E.|TOQUE.MOOSE|T..T...W..H|A.TIMMIES..|W..N...R...|ALBERTA....
,,Crossword,Canada,,,,,,1,4,6,Across,MAPLE,Sweet tree associated with Canada,,,,,INUKSHUK.R.|.....O...O.|.CANUCK..C.|.....K.C.K.|.MAPLE.N.I.|O..O.Y.T.E.|TOQUE.MOOSE|T..T...W..H|A.TIMMIES..|W..N...R...|ALBERTA....
,,Crossword,Canada,,,,,,0,6,9,Across,TOQUE,Knitted winter hat in Canada,,,,,INUKSHUK.R.|.....O...O.|.CANUCK..C.|.....K.C.K.|.MAPLE.N.I.|O..O.Y.T.E.|TOQUE.MOOSE|T..T...W..H|A.TIMMIES..|W..N...R...|ALBERTA....
,,Crossword,Canada,,,,,,6,6,10,Across,MOOSE,Large Canadian forest inhabitant,,,,,INUKSHUK.R.|.....O...O.|.CANUCK..C.|.....K.C.K.|.MAPLE.N.I.|O..O.Y.T.E.|TOQUE.MOOSE|T..T...W..H|A.TIMMIES..|W..N...R...|ALBERTA....
,,Crossword,Canada,,,,,,2,8,12,Across,TIMMIES,Nickname for Tim Hortons,,,,,INUKSHUK.R.|.....O...O.|.CANUCK..C.|.....K.C.K.|.MAPLE.N.I.|O..O.Y.T.E.|TOQUE.MOOSE|T..T...W..H|A.TIMMIES..|W..N...R...|ALBERTA....
,,Crossword,Canada,,,,,,0,10,13,Across,ALBERTA,Western Canadian province,,,,,INUKSHUK.R.|.....O...O.|.CANUCK..C.|.....K.C.K.|.MAPLE.N.I.|O..O.Y.T.E.|TOQUE.MOOSE|T..T...W..H|A.TIMMIES..|W..N...R...|ALBERTA....
,,Crossword,Canada,,,,,,9,0,3,Down,ROCKIES,Mountain range in Western Canada,,,,,INUKSHUK.R.|.....O...O.|.CANUCK..C.|.....K.C.K.|.MAPLE.N.I.|O..O.Y.T.E.|TOQUE.MOOSE|T..T...W..H|A.TIMMIES..|W..N...R...|ALBERTA....
,,Crossword,Canada,,,,,,7,3,5,Down,CNTOWER,Iconic Toronto landmark,,,,,INUKSHUK.R.|.....O...O.|.CANUCK..C.|.....K.C.K.|.MAPLE.N.I.|O..O.Y.T.E.|TOQUE.MOOSE|T..T...W..H|A.TIMMIES..|W..N...R...|ALBERTA....
,,Crossword,Canada,,,,,,3,4,7,Down,POUTINE,"Fries, curds, and gravy dish",,,,,INUKSHUK.R.|.....O...O.|.CANUCK..C.|.....K.C.K.|.MAPLE.N.I.|O..O.Y.T.E.|TOQUE.MOOSE|T..T...W..H|A.TIMMIES..|W..N...R...|ALBERTA....
,,Crossword,Canada,,,,,,0,5,8,Down,OTTAWA,Canada's capital city,,,,,INUKSHUK.R.|.....O...O.|.CANUCK..C.|.....K.C.K.|.MAPLE.N.I.|O..O.Y.T.E.|TOQUE.MOOSE|T..T...W..H|A.TIMMIES..|W..N...R...|ALBERTA....
,,Crossword,Canada,,,,,,10,6,11,Down,EH,Common Canadian conversational tag,,,,,INUKSHUK.R.|.....O...O.|.CANUCK..C.|.....K.C.K.|.MAPLE.N.I.|O..O.Y.T.E.|TOQUE.MOOSE|T..T...W..H|A.TIMMIES..|W..N...R...|ALBERTA....
