Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Space Exploration,,,,,,0,0,1,Across,GRAVITY,Force that pulls celestial bodies together,,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,7,1,4,Across,MOON,Earth's natural satellite,,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,6,4,8,Across,ASTRO,Prefix for star or celestial body,,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,2,5,9,Across,ORBIT,Path a spacecraft takes around a planet,,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,1,8,12,Across,SOLAR,"Relating to the sun, as in a system",,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,7,8,13,Across,MARS,The red planet in our solar system,,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,1,10,14,Across,SATURN,Ringed planet in our solar system,,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,0,0,1,Down,GALAXY,"Vast system of stars, gas, and dust",,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,2,0,2,Down,APOLLO,Historic NASA moon mission program,,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,8,0,3,Down,COMET,Icy space rock with a tail,,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,6,2,5,Down,CRATER,Bowl-shaped impact mark on a planet,,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,4,3,6,Down,NEBULA,Cloud of gas and dust in deep space,,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,10,3,7,Down,COSMOS,The universe as an orderly whole,,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,8,6,10,Down,STAR,Luminous ball of plasma in the cosmos,,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
,,Crossword,Space Exploration,,,,,,2,7,11,Down,NOVA,A star that suddenly brightens,,,,,GRAVITY.C..|A.P....MOON|L.O...C.M..|A.L.N.R.E.C|X.L.E.ASTRO|Y.ORBIT...S|....U.E.S.M|..N.L.R.T.O|.SOLAR.MARS|..V.....R..|.SATURN....
