Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Canada,,,,,,3,2,5,Across,CELSIUS,Temperature scale used in Canada,,,,,LACROSSE.H.|.L.O.....O.|.B.CELSIUS.|.E.K.....EH|.R.IGLOO.R.|.T.E.O..C.M|.A.S.OTTAWA|.....N..N.P|.....I..U.L|...QUEBEC.E|........K..
,,Crossword,Canada,,,,,,9,3,6,Across,EH,"Classic Canadian conversational tag, often at sentence end",,,,,LACROSSE.H.|.L.O.....O.|.B.CELSIUS.|.E.K.....EH|.R.IGLOO.R.|.T.E.O..C.M|.A.S.OTTAWA|.....N..N.P|.....I..U.L|...QUEBEC.E|........K..
,,Crossword,Canada,,,,,,3,4,7,Across,IGLOO,Traditional Inuit snow shelter,,,,,LACROSSE.H.|.L.O.....O.|.B.CELSIUS.|.E.K.....EH|.R.IGLOO.R.|.T.E.O..C.M|.A.S.OTTAWA|.....N..N.P|.....I..U.L|...QUEBEC.E|........K..
,,Crossword,Canada,,,,,,5,6,11,Across,OTTAWA,Canada's capital city,,,,,LACROSSE.H.|.L.O.....O.|.B.CELSIUS.|.E.K.....EH|.R.IGLOO.R.|.T.E.O..C.M|.A.S.OTTAWA|.....N..N.P|.....I..U.L|...QUEBEC.E|........K..
,,Crossword,Canada,,,,,,3,9,12,Across,QUEBEC,French-speaking Canadian province,,,,,LACROSSE.H.|.L.O.....O.|.B.CELSIUS.|.E.K.....EH|.R.IGLOO.R.|.T.E.O..C.M|.A.S.OTTAWA|.....N..N.P|.....I..U.L|...QUEBEC.E|........K..
,,Crossword,Canada,,,,,,3,0,3,Down,ROCKIES,Breathtaking mountain range in Western Canada,,,,,LACROSSE.H.|.L.O.....O.|.B.CELSIUS.|.E.K.....EH|.R.IGLOO.R.|.T.E.O..C.M|.A.S.OTTAWA|.....N..N.P|.....I..U.L|...QUEBEC.E|........K..
,,Crossword,Canada,,,,,,9,0,4,Down,HOSER,Slang for a foolish or unsophisticated Canadian,,,,,LACROSSE.H.|.L.O.....O.|.B.CELSIUS.|.E.K.....EH|.R.IGLOO.R.|.T.E.O..C.M|.A.S.OTTAWA|.....N..N.P|.....I..U.L|...QUEBEC.E|........K..
,,Crossword,Canada,,,,,,5,4,8,Down,LOONIE,"Canadian one-dollar coin, featuring a bird",,,,,LACROSSE.H.|.L.O.....O.|.B.CELSIUS.|.E.K.....EH|.R.IGLOO.R.|.T.E.O..C.M|.A.S.OTTAWA|.....N..N.P|.....I..U.L|...QUEBEC.E|........K..
,,Crossword,Canada,,,,,,8,5,9,Down,CANUCK,Nickname for a Canadian or Vancouver hockey team,,,,,LACROSSE.H.|.L.O.....O.|.B.CELSIUS.|.E.K.....EH|.R.IGLOO.R.|.T.E.O..C.M|.A.S.OTTAWA|.....N..N.P|.....I..U.L|...QUEBEC.E|........K..
,,Crossword,Canada,,,,,,10,5,10,Down,MAPLE,Tree whose leaf is a Canadian symbol,,,,,LACROSSE.H.|.L.O.....O.|.B.CELSIUS.|.E.K.....EH|.R.IGLOO.R.|.T.E.O..C.M|.A.S.OTTAWA|.....N..N.P|.....I..U.L|...QUEBEC.E|........K..
