Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Ocean Life,,,,,,0,0,1,Across,PLANKTON,Tiny ocean organisms drifting with currents,,,,,PLANKTON...S...|.A.A.R..OCTOPUS|.G.U.E...U.N..H|.O.TUNA.ORCA..R|.O.I.C.B.R.R..I|.N.L.H.REEF.S.M|...U...I.N.KELP|...SALINITY.A..|.......E....B..|C.......WHALE..|O...T.SEA.B.D..|A.G.I.E.V.Y..C.|SQUID.A.E.SHARK|T.L.EEL...S..A.|..L..........B.
,,Crossword,Ocean Life,,,,,,8,1,6,Across,OCTOPUS,Eight-armed ocean creature,,,,,PLANKTON...S...|.A.A.R..OCTOPUS|.G.U.E...U.N..H|.O.TUNA.ORCA..R|.O.I.C.B.R.R..I|.N.L.H.REEF.S.M|...U...I.N.KELP|...SALINITY.A..|.......E....B..|C.......WHALE..|O...T.SEA.B.D..|A.G.I.E.V.Y..C.|SQUID.A.E.SHARK|T.L.EEL...S..A.|..L..........B.
,,Crossword,Ocean Life,,,,,,3,3,9,Across,TUNA,Fast-swimming ocean fish,,,,,PLANKTON...S...|.A.A.R..OCTOPUS|.G.U.E...U.N..H|.O.TUNA.ORCA..R|.O.I.C.B.R.R..I|.N.L.H.REEF.S.M|...U...I.N.KELP|...SALINITY.A..|.......E....B..|C.......WHALE..|O...T.SEA.B.D..|A.G.I.E.V.Y..C.|SQUID.A.E.SHARK|T.L.EEL...S..A.|..L..........B.
,,Crossword,Ocean Life,,,,,,8,3,10,Across,ORCA,Black and white ocean predator,,,,,PLANKTON...S...|.A.A.R..OCTOPUS|.G.U.E...U.N..H|.O.TUNA.ORCA..R|.O.I.C.B.R.R..I|.N.L.H.REEF.S.M|...U...I.N.KELP|...SALINITY.A..|.......E....B..|C.......WHALE..|O...T.SEA.B.D..|A.G.I.E.V.Y..C.|SQUID.A.E.SHARK|T.L.EEL...S..A.|..L..........B.
,,Crossword,Ocean Life,,,,,,7,5,12,Across,REEF,Coral formation in the ocean,,,,,PLANKTON...S...|.A.A.R..OCTOPUS|.G.U.E...U.N..H|.O.TUNA.ORCA..R|.O.I.C.B.R.R..I|.N.L.H.REEF.S.M|...U...I.N.KELP|...SALINITY.A..|.......E....B..|C.......WHALE..|O...T.SEA.B.D..|A.G.I.E.V.Y..C.|SQUID.A.E.SHARK|T.L.EEL...S..A.|..L..........B.
,,Crossword,Ocean Life,,,,,,11,6,14,Across,KELP,Large brown ocean plant,,,,,PLANKTON...S...|.A.A.R..OCTOPUS|.G.U.E...U.N..H|.O.TUNA.ORCA..R|.O.I.C.B.R.R..I|.N.L.H.REEF.S.M|...U...I.N.KELP|...SALINITY.A..|.......E....B..|C.......WHALE..|O...T.SEA.B.D..|A.G.I.E.V.Y..C.|SQUID.A.E.SHARK|T.L.EEL...S..A.|..L..........B.
,,Crossword,Ocean Life,,,,,,3,7,15,Across,SALINITY,Saltiness of ocean water,,,,,PLANKTON...S...|.A.A.R..OCTOPUS|.G.U.E...U.N..H|.O.TUNA.ORCA..R|.O.I.C.B.R.R..I|.N.L.H.REEF.S.M|...U...I.N.KELP|...SALINITY.A..|.......E....B..|C.......WHALE..|O...T.SEA.B.D..|A.G.I.E.V.Y..C.|SQUID.A.E.SHARK|T.L.EEL...S..A.|..L..........B.
,,Crossword,Ocean Life,,,,,,8,9,17,Across,WHALE,Largest ocean mammal,,,,,PLANKTON...S...|.A.A.R..OCTOPUS|.G.U.E...U.N..H|.O.TUNA.ORCA..R|.O.I.C.B.R.R..I|.N.L.H.REEF.S.M|...U...I.N.KELP|...SALINITY.A..|.......E....B..|C.......WHALE..|O...T.SEA.B.D..|A.G.I.E.V.Y..C.|SQUID.A.E.SHARK|T.L.EEL...S..A.|..L..........B.
,,Crossword,Ocean Life,,,,,,6,10,20,Across,SEA,"Vast body of saltwater, smaller than an ocean",,,,,PLANKTON...S...|.A.A.R..OCTOPUS|.G.U.E...U.N..H|.O.TUNA.ORCA..R|.O.I.C.B.R.R..I|.N.L.H.REEF.S.M|...U...I.N.KELP|...SALINITY.A..|.......E....B..|C.......WHALE..|O...T.SEA.B.D..|A.G.I.E.V.Y..C.|SQUID.A.E.SHARK|T.L.EEL...S..A.|..L..........B.
,,Crossword,Ocean Life,,,,,,0,12,23,Across,SQUID,Ten-armed ocean mollusk,,,,,PLANKTON...S...|.A.A.R..OCTOPUS|.G.U.E...U.N..H|.O.TUNA.ORCA..R|.O.I.C.B.R.R..I|.N.L.H.REEF.S.M|...U...I.N.KELP|...SALINITY.A..|.......E....B..|C.......WHALE..|O...T.SEA.B.D..|A.G.I.E.V.Y..C.|SQUID.A.E.SHARK|T.L.EEL...S..A.|..L..........B.
