Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Space Exploration,,,,,,0,0,1,Across,ASTEROID,Rocky object in space,,,,,ASTEROID..M....|P..C....URANUS.|O.PLANET..R...C|L..I.E....SOLAR|L..P.PLUTO....A|O..S.T...ROCKET|..NEBULA.B.O..E|.....N.U.I.STAR|..METEOR.T.M...|..O....A..COMET|.NOVA......S.A.|..N.L.....H..R.|....I.S.GRAVITY|...VENUS..L..H.|....N.N..VOID..
,,Crossword,Space Exploration,,,,,,8,1,4,Across,URANUS,Ice giant planet,,,,,ASTEROID..M....|P..C....URANUS.|O.PLANET..R...C|L..I.E....SOLAR|L..P.PLUTO....A|O..S.T...ROCKET|..NEBULA.B.O..E|.....N.U.I.STAR|..METEOR.T.M...|..O....A..COMET|.NOVA......S.A.|..N.L.....H..R.|....I.S.GRAVITY|...VENUS..L..H.|....N.N..VOID..
,,Crossword,Space Exploration,,,,,,2,2,5,Across,PLANET,Large body orbiting a star,,,,,ASTEROID..M....|P..C....URANUS.|O.PLANET..R...C|L..I.E....SOLAR|L..P.PLUTO....A|O..S.T...ROCKET|..NEBULA.B.O..E|.....N.U.I.STAR|..METEOR.T.M...|..O....A..COMET|.NOVA......S.A.|..N.L.....H..R.|....I.S.GRAVITY|...VENUS..L..H.|....N.N..VOID..
,,Crossword,Space Exploration,,,,,,10,3,8,Across,SOLAR,Pertaining to the sun,,,,,ASTEROID..M....|P..C....URANUS.|O.PLANET..R...C|L..I.E....SOLAR|L..P.PLUTO....A|O..S.T...ROCKET|..NEBULA.B.O..E|.....N.U.I.STAR|..METEOR.T.M...|..O....A..COMET|.NOVA......S.A.|..N.L.....H..R.|....I.S.GRAVITY|...VENUS..L..H.|....N.N..VOID..
,,Crossword,Space Exploration,,,,,,5,4,9,Across,PLUTO,Dwarf planet,,,,,ASTEROID..M....|P..C....URANUS.|O.PLANET..R...C|L..I.E....SOLAR|L..P.PLUTO....A|O..S.T...ROCKET|..NEBULA.B.O..E|.....N.U.I.STAR|..METEOR.T.M...|..O....A..COMET|.NOVA......S.A.|..N.L.....H..R.|....I.S.GRAVITY|...VENUS..L..H.|....N.N..VOID..
,,Crossword,Space Exploration,,,,,,9,5,11,Across,ROCKET,Vehicle for space travel,,,,,ASTEROID..M....|P..C....URANUS.|O.PLANET..R...C|L..I.E....SOLAR|L..P.PLUTO....A|O..S.T...ROCKET|..NEBULA.B.O..E|.....N.U.I.STAR|..METEOR.T.M...|..O....A..COMET|.NOVA......S.A.|..N.L.....H..R.|....I.S.GRAVITY|...VENUS..L..H.|....N.N..VOID..
,,Crossword,Space Exploration,,,,,,2,6,13,Across,NEBULA,Cloud of gas and dust in space,,,,,ASTEROID..M....|P..C....URANUS.|O.PLANET..R...C|L..I.E....SOLAR|L..P.PLUTO....A|O..S.T...ROCKET|..NEBULA.B.O..E|.....N.U.I.STAR|..METEOR.T.M...|..O....A..COMET|.NOVA......S.A.|..N.L.....H..R.|....I.S.GRAVITY|...VENUS..L..H.|....N.N..VOID..
,,Crossword,Space Exploration,,,,,,11,7,15,Across,STAR,Luminous celestial body,,,,,ASTEROID..M....|P..C....URANUS.|O.PLANET..R...C|L..I.E....SOLAR|L..P.PLUTO....A|O..S.T...ROCKET|..NEBULA.B.O..E|.....N.U.I.STAR|..METEOR.T.M...|..O....A..COMET|.NOVA......S.A.|..N.L.....H..R.|....I.S.GRAVITY|...VENUS..L..H.|....N.N..VOID..
,,Crossword,Space Exploration,,,,,,2,8,16,Across,METEOR,Streak of light in the night sky,,,,,ASTEROID..M....|P..C....URANUS.|O.PLANET..R...C|L..I.E....SOLAR|L..P.PLUTO....A|O..S.T...ROCKET|..NEBULA.B.O..E|.....N.U.I.STAR|..METEOR.T.M...|..O....A..COMET|.NOVA......S.A.|..N.L.....H..R.|....I.S.GRAVITY|...VENUS..L..H.|....N.N..VOID..
,,Crossword,Space Exploration,,,,,,10,9,17,Across,COMET,Icy body with a tail in space,,,,,ASTEROID..M....|P..C....URANUS.|O.PLANET..R...C|L..I.E....SOLAR|L..P.PLUTO....A|O..S.T...ROCKET|..NEBULA.B.O..E|.....N.U.I.STAR|..METEOR.T.M...|..O....A..COMET|.NOVA......S.A.|..N.L.....H..R.|....I.S.GRAVITY|...VENUS..L..H.|....N.N..VOID..
