Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Canada,,,,,,0,0,1,Across,FRONTIER,Vast Canadian wilderness,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,9,0,3,Across,OTTAWA,Canada's capital city,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,0,2,5,Across,ATLANTIC,Ocean east of Canada,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,1,4,8,Across,PRAIRIE,Flat agricultural region in Canada,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,9,4,9,Across,QUEBEC,French-speaking Canadian province,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,0,6,11,Across,ONTARIO,Most populous Canadian province,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,10,6,15,Across,BANFF,Famous national park in Alberta,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,2,8,16,Across,MAPLE,Sweet tree symbol of Canada,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,4,10,18,Across,MOUNTIE,"RCMP officer, informally",,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,4,12,19,Across,TOONIE,Canadian two-dollar coin,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,9,13,21,Across,HOCKEY,Canada's national winter sport,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,2,14,22,Across,JASPER,Another Rocky Mountain national park,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,3,0,2,Down,NIAGARA,Famous falls on the US border,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,11,0,4,Down,TOQUE,"Knitted winter hat, in Canada",,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,7,2,6,Down,CREE,Widespread Indigenous Canadian tribe,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,14,2,7,Down,PACIFIC,Ocean west of Canada,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,0,5,10,Down,POUTINE,"Fries, curds, and gravy dish",,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
,,Crossword,Canada,,,,,,2,6,12,Down,TIMMIES,Nickname for a popular coffee chain,,,,,FRONTIER.OTTAWA|...I.......O...|ATLANTIC...Q..P|...G...R...U..A|.PRAIRIE.QUEBEC|P..R...E......I|ONTARIO.I.BANFF|U.I..G..N.E...I|T.MAPLE.U.A.C.C|I.M..O..I.V.A..|N.I.MOUNTIE.N..|E.E.E.....R.U..|..S.TOONIE..C..|....I....HOCKEY|..JASPER.......
