Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Canada,,,,,,0,0,1,Across,LACROSSE,Canada's national summer sport,,,,,LACROSSE.FLAG.S.....|.L.O.....U.R..N.....|.B.CNTOWER.COLONY..C|.E.K.....S.T..W..T.O|PRAIRIE.Q..I.C...O.L|.T.E....U..COAST.RED|.A.SENATE....N...O..|........B.PM.U.BANFF|...TIMMIES.O.C.A.T.R|....N.A.C.HOCKEY.O.E|....U.P....S.......N|....K.LOONIE.I.....C|....S.E.N.G..C.....H|....H...T.LAKE.B....|P..TUNDRA.O....E.C..|A.N.K...R.OTTAWA.A.W|R.O..METIS.O...V.S.H|K.R...H.O..Q.GREAT.I|ANTHEM.....U...R.O.T|..H..POUTINE....CREE
,,Crossword,Canada,,,,,,9,0,4,Across,FLAG,Canadian symbol with a red leaf,,,,,LACROSSE.FLAG.S.....|.L.O.....U.R..N.....|.B.CNTOWER.COLONY..C|.E.K.....S.T..W..T.O|PRAIRIE.Q..I.C...O.L|.T.E....U..COAST.RED|.A.SENATE....N...O..|........B.PM.U.BANFF|...TIMMIES.O.C.A.T.R|....N.A.C.HOCKEY.O.E|....U.P....S.......N|....K.LOONIE.I.....C|....S.E.N.G..C.....H|....H...T.LAKE.B....|P..TUNDRA.O....E.C..|A.N.K...R.OTTAWA.A.W|R.O..METIS.O...V.S.H|K.R...H.O..Q.GREAT.I|ANTHEM.....U...R.O.T|..H..POUTINE....CREE
,,Crossword,Canada,,,,,,3,2,7,Across,CNTOWER,Iconic Toronto skyline feature,,,,,LACROSSE.FLAG.S.....|.L.O.....U.R..N.....|.B.CNTOWER.COLONY..C|.E.K.....S.T..W..T.O|PRAIRIE.Q..I.C...O.L|.T.E....U..COAST.RED|.A.SENATE....N...O..|........B.PM.U.BANFF|...TIMMIES.O.C.A.T.R|....N.A.C.HOCKEY.O.E|....U.P....S.......N|....K.LOONIE.I.....C|....S.E.N.G..C.....H|....H...T.LAKE.B....|P..TUNDRA.O....E.C..|A.N.K...R.OTTAWA.A.W|R.O..METIS.O...V.S.H|K.R...H.O..Q.GREAT.I|ANTHEM.....U...R.O.T|..H..POUTINE....CREE
,,Crossword,Canada,,,,,,11,2,8,Across,COLONY,Early European settlement in Canada,,,,,LACROSSE.FLAG.S.....|.L.O.....U.R..N.....|.B.CNTOWER.COLONY..C|.E.K.....S.T..W..T.O|PRAIRIE.Q..I.C...O.L|.T.E....U..COAST.RED|.A.SENATE....N...O..|........B.PM.U.BANFF|...TIMMIES.O.C.A.T.R|....N.A.C.HOCKEY.O.E|....U.P....S.......N|....K.LOONIE.I.....C|....S.E.N.G..C.....H|....H...T.LAKE.B....|P..TUNDRA.O....E.C..|A.N.K...R.OTTAWA.A.W|R.O..METIS.O...V.S.H|K.R...H.O..Q.GREAT.I|ANTHEM.....U...R.O.T|..H..POUTINE....CREE
,,Crossword,Canada,,,,,,0,4,11,Across,PRAIRIE,Flat agricultural region in Canada,,,,,LACROSSE.FLAG.S.....|.L.O.....U.R..N.....|.B.CNTOWER.COLONY..C|.E.K.....S.T..W..T.O|PRAIRIE.Q..I.C...O.L|.T.E....U..COAST.RED|.A.SENATE....N...O..|........B.PM.U.BANFF|...TIMMIES.O.C.A.T.R|....N.A.C.HOCKEY.O.E|....U.P....S.......N|....K.LOONIE.I.....C|....S.E.N.G..C.....H|....H...T.LAKE.B....|P..TUNDRA.O....E.C..|A.N.K...R.OTTAWA.A.W|R.O..METIS.O...V.S.H|K.R...H.O..Q.GREAT.I|ANTHEM.....U...R.O.T|..H..POUTINE....CREE
,,Crossword,Canada,,,,,,11,5,14,Across,COAST,Canada has the longest one,,,,,LACROSSE.FLAG.S.....|.L.O.....U.R..N.....|.B.CNTOWER.COLONY..C|.E.K.....S.T..W..T.O|PRAIRIE.Q..I.C...O.L|.T.E....U..COAST.RED|.A.SENATE....N...O..|........B.PM.U.BANFF|...TIMMIES.O.C.A.T.R|....N.A.C.HOCKEY.O.E|....U.P....S.......N|....K.LOONIE.I.....C|....S.E.N.G..C.....H|....H...T.LAKE.B....|P..TUNDRA.O....E.C..|A.N.K...R.OTTAWA.A.W|R.O..METIS.O...V.S.H|K.R...H.O..Q.GREAT.I|ANTHEM.....U...R.O.T|..H..POUTINE....CREE
,,Crossword,Canada,,,,,,17,5,15,Across,RED,Color of the Canadian leaf,,,,,LACROSSE.FLAG.S.....|.L.O.....U.R..N.....|.B.CNTOWER.COLONY..C|.E.K.....S.T..W..T.O|PRAIRIE.Q..I.C...O.L|.T.E....U..COAST.RED|.A.SENATE....N...O..|........B.PM.U.BANFF|...TIMMIES.O.C.A.T.R|....N.A.C.HOCKEY.O.E|....U.P....S.......N|....K.LOONIE.I.....C|....S.E.N.G..C.....H|....H...T.LAKE.B....|P..TUNDRA.O....E.C..|A.N.K...R.OTTAWA.A.W|R.O..METIS.O...V.S.H|K.R...H.O..Q.GREAT.I|ANTHEM.....U...R.O.T|..H..POUTINE....CREE
,,Crossword,Canada,,,,,,3,6,16,Across,SENATE,Upper house of Canadian Parliament,,,,,LACROSSE.FLAG.S.....|.L.O.....U.R..N.....|.B.CNTOWER.COLONY..C|.E.K.....S.T..W..T.O|PRAIRIE.Q..I.C...O.L|.T.E....U..COAST.RED|.A.SENATE....N...O..|........B.PM.U.BANFF|...TIMMIES.O.C.A.T.R|....N.A.C.HOCKEY.O.E|....U.P....S.......N|....K.LOONIE.I.....C|....S.E.N.G..C.....H|....H...T.LAKE.B....|P..TUNDRA.O....E.C..|A.N.K...R.OTTAWA.A.W|R.O..METIS.O...V.S.H|K.R...H.O..Q.GREAT.I|ANTHEM.....U...R.O.T|..H..POUTINE....CREE
,,Crossword,Canada,,,,,,10,7,17,Across,PM,"Canada's head of government, for short",,,,,LACROSSE.FLAG.S.....|.L.O.....U.R..N.....|.B.CNTOWER.COLONY..C|.E.K.....S.T..W..T.O|PRAIRIE.Q..I.C...O.L|.T.E....U..COAST.RED|.A.SENATE....N...O..|........B.PM.U.BANFF|...TIMMIES.O.C.A.T.R|....N.A.C.HOCKEY.O.E|....U.P....S.......N|....K.LOONIE.I.....C|....S.E.N.G..C.....H|....H...T.LAKE.B....|P..TUNDRA.O....E.C..|A.N.K...R.OTTAWA.A.W|R.O..METIS.O...V.S.H|K.R...H.O..Q.GREAT.I|ANTHEM.....U...R.O.T|..H..POUTINE....CREE
,,Crossword,Canada,,,,,,15,7,19,Across,BANFF,Scenic Canadian national park,,,,,LACROSSE.FLAG.S.....|.L.O.....U.R..N.....|.B.CNTOWER.COLONY..C|.E.K.....S.T..W..T.O|PRAIRIE.Q..I.C...O.L|.T.E....U..COAST.RED|.A.SENATE....N...O..|........B.PM.U.BANFF|...TIMMIES.O.C.A.T.R|....N.A.C.HOCKEY.O.E|....U.P....S.......N|....K.LOONIE.I.....C|....S.E.N.G..C.....H|....H...T.LAKE.B....|P..TUNDRA.O....E.C..|A.N.K...R.OTTAWA.A.W|R.O..METIS.O...V.S.H|K.R...H.O..Q.GREAT.I|ANTHEM.....U...R.O.T|..H..POUTINE....CREE
