Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Ancient Egypt,,,,,,0,0,1,Across,IRRIGATE,Water fields in ancient Egypt,,,,,IRRIGATE..CANOPIC...|..E....G..O....S....|.NEPHTHYS.B.SPHINX.R|..D..H.P..R....S..RA|..S.DELTA.AKHEN.D..M|...H.B.I.O.A....Y..S|..NILE.A.SCRIBE.N..E|.S.E.SINAI.N....ASPS|.CART....R.ANUBIS...|.A.O.OBELISK....TUT.|.R.......S..MUMMY...|.AMULET.A..........F|.B..U.OASIS..FELUCCA|..P.X.M.W.E.P......L|..H.O.B.A.T.Y......C|.PAPRUS.N.HORUS.CLEO|..R.........A.A.R..N|.NATRON.KHNUM.R.O...|..O.........I.COPTIC|..HATSHE.GOLD.O.S...
,,Crossword,Ancient Egypt,,,,,,10,0,4,Across,CANOPIC,Jars for organs in mummification,,,,,IRRIGATE..CANOPIC...|..E....G..O....S....|.NEPHTHYS.B.SPHINX.R|..D..H.P..R....S..RA|..S.DELTA.AKHEN.D..M|...H.B.I.O.A....Y..S|..NILE.A.SCRIBE.N..E|.S.E.SINAI.N....ASPS|.CART....R.ANUBIS...|.A.O.OBELISK....TUT.|.R.......S..MUMMY...|.AMULET.A..........F|.B..U.OASIS..FELUCCA|..P.X.M.W.E.P......L|..H.O.B.A.T.Y......C|.PAPRUS.N.HORUS.CLEO|..R.........A.A.R..N|.NATRON.KHNUM.R.O...|..O.........I.COPTIC|..HATSHE.GOLD.O.S...
,,Crossword,Ancient Egypt,,,,,,1,2,6,Across,NEPHTHYS,Sister of Isis and Osiris,,,,,IRRIGATE..CANOPIC...|..E....G..O....S....|.NEPHTHYS.B.SPHINX.R|..D..H.P..R....S..RA|..S.DELTA.AKHEN.D..M|...H.B.I.O.A....Y..S|..NILE.A.SCRIBE.N..E|.S.E.SINAI.N....ASPS|.CART....R.ANUBIS...|.A.O.OBELISK....TUT.|.R.......S..MUMMY...|.AMULET.A..........F|.B..U.OASIS..FELUCCA|..P.X.M.W.E.P......L|..H.O.B.A.T.Y......C|.PAPRUS.N.HORUS.CLEO|..R.........A.A.R..N|.NATRON.KHNUM.R.O...|..O.........I.COPTIC|..HATSHE.GOLD.O.S...
,,Crossword,Ancient Egypt,,,,,,12,2,8,Across,SPHINX,Mythical creature guarding the Giza plateau,,,,,IRRIGATE..CANOPIC...|..E....G..O....S....|.NEPHTHYS.B.SPHINX.R|..D..H.P..R....S..RA|..S.DELTA.AKHEN.D..M|...H.B.I.O.A....Y..S|..NILE.A.SCRIBE.N..E|.S.E.SINAI.N....ASPS|.CART....R.ANUBIS...|.A.O.OBELISK....TUT.|.R.......S..MUMMY...|.AMULET.A..........F|.B..U.OASIS..FELUCCA|..P.X.M.W.E.P......L|..H.O.B.A.T.Y......C|.PAPRUS.N.HORUS.CLEO|..R.........A.A.R..N|.NATRON.KHNUM.R.O...|..O.........I.COPTIC|..HATSHE.GOLD.O.S...
,,Crossword,Ancient Egypt,,,,,,18,3,10,Across,RA,Powerful Egyptian sun god,,,,,IRRIGATE..CANOPIC...|..E....G..O....S....|.NEPHTHYS.B.SPHINX.R|..D..H.P..R....S..RA|..S.DELTA.AKHEN.D..M|...H.B.I.O.A....Y..S|..NILE.A.SCRIBE.N..E|.S.E.SINAI.N....ASPS|.CART....R.ANUBIS...|.A.O.OBELISK....TUT.|.R.......S..MUMMY...|.AMULET.A..........F|.B..U.OASIS..FELUCCA|..P.X.M.W.E.P......L|..H.O.B.A.T.Y......C|.PAPRUS.N.HORUS.CLEO|..R.........A.A.R..N|.NATRON.KHNUM.R.O...|..O.........I.COPTIC|..HATSHE.GOLD.O.S...
,,Crossword,Ancient Egypt,,,,,,4,4,11,Across,DELTA,Fertile land at the Nile's mouth,,,,,IRRIGATE..CANOPIC...|..E....G..O....S....|.NEPHTHYS.B.SPHINX.R|..D..H.P..R....S..RA|..S.DELTA.AKHEN.D..M|...H.B.I.O.A....Y..S|..NILE.A.SCRIBE.N..E|.S.E.SINAI.N....ASPS|.CART....R.ANUBIS...|.A.O.OBELISK....TUT.|.R.......S..MUMMY...|.AMULET.A..........F|.B..U.OASIS..FELUCCA|..P.X.M.W.E.P......L|..H.O.B.A.T.Y......C|.PAPRUS.N.HORUS.CLEO|..R.........A.A.R..N|.NATRON.KHNUM.R.O...|..O.........I.COPTIC|..HATSHE.GOLD.O.S...
,,Crossword,Ancient Egypt,,,,,,10,4,12,Across,AKHEN,"Pharaoh who promoted Aten worship, for short",,,,,IRRIGATE..CANOPIC...|..E....G..O....S....|.NEPHTHYS.B.SPHINX.R|..D..H.P..R....S..RA|..S.DELTA.AKHEN.D..M|...H.B.I.O.A....Y..S|..NILE.A.SCRIBE.N..E|.S.E.SINAI.N....ASPS|.CART....R.ANUBIS...|.A.O.OBELISK....TUT.|.R.......S..MUMMY...|.AMULET.A..........F|.B..U.OASIS..FELUCCA|..P.X.M.W.E.P......L|..H.O.B.A.T.Y......C|.PAPRUS.N.HORUS.CLEO|..R.........A.A.R..N|.NATRON.KHNUM.R.O...|..O.........I.COPTIC|..HATSHE.GOLD.O.S...
,,Crossword,Ancient Egypt,,,,,,2,6,17,Across,NILE,Life-giving river of Egypt,,,,,IRRIGATE..CANOPIC...|..E....G..O....S....|.NEPHTHYS.B.SPHINX.R|..D..H.P..R....S..RA|..S.DELTA.AKHEN.D..M|...H.B.I.O.A....Y..S|..NILE.A.SCRIBE.N..E|.S.E.SINAI.N....ASPS|.CART....R.ANUBIS...|.A.O.OBELISK....TUT.|.R.......S..MUMMY...|.AMULET.A..........F|.B..U.OASIS..FELUCCA|..P.X.M.W.E.P......L|..H.O.B.A.T.Y......C|.PAPRUS.N.HORUS.CLEO|..R.........A.A.R..N|.NATRON.KHNUM.R.O...|..O.........I.COPTIC|..HATSHE.GOLD.O.S...
,,Crossword,Ancient Egypt,,,,,,9,6,18,Across,SCRIBE,Ancient Egyptian writer,,,,,IRRIGATE..CANOPIC...|..E....G..O....S....|.NEPHTHYS.B.SPHINX.R|..D..H.P..R....S..RA|..S.DELTA.AKHEN.D..M|...H.B.I.O.A....Y..S|..NILE.A.SCRIBE.N..E|.S.E.SINAI.N....ASPS|.CART....R.ANUBIS...|.A.O.OBELISK....TUT.|.R.......S..MUMMY...|.AMULET.A..........F|.B..U.OASIS..FELUCCA|..P.X.M.W.E.P......L|..H.O.B.A.T.Y......C|.PAPRUS.N.HORUS.CLEO|..R.........A.A.R..N|.NATRON.KHNUM.R.O...|..O.........I.COPTIC|..HATSHE.GOLD.O.S...
,,Crossword,Ancient Egypt,,,,,,5,7,20,Across,SINAI,Egyptian peninsula,,,,,IRRIGATE..CANOPIC...|..E....G..O....S....|.NEPHTHYS.B.SPHINX.R|..D..H.P..R....S..RA|..S.DELTA.AKHEN.D..M|...H.B.I.O.A....Y..S|..NILE.A.SCRIBE.N..E|.S.E.SINAI.N....ASPS|.CART....R.ANUBIS...|.A.O.OBELISK....TUT.|.R.......S..MUMMY...|.AMULET.A..........F|.B..U.OASIS..FELUCCA|..P.X.M.W.E.P......L|..H.O.B.A.T.Y......C|.PAPRUS.N.HORUS.CLEO|..R.........A.A.R..N|.NATRON.KHNUM.R.O...|..O.........I.COPTIC|..HATSHE.GOLD.O.S...
