Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Space Exploration,,,,,,0,0,1,Across,TELESCOPE,Instrument to view distant space objects,,,,,TELESCOPE.ASTEROID..|.C...R.L...P..O...M.|PLASMA.URANUS.COSMOS|.I...T.T.R.T..K.A.O.|.PROBE.ORION.NEPTUNE|.S.R.R...E.I..T.U...|.E.B..MARS.K....RING|...I..E.......SUN.O.|...TAURUS.VOID....V.|......C.T....U.SOLAR|...NEBULA.AXIS...Y..|......R.R.S..T...R.C|..GASSY...T.....HALO|G.R.....EARTH..J...M|A.APOLLO..O...HUBBLE|L.V...U.VENUS..P...T|ALIEN.N.I......I....|X.T.A.AURORA...T.L..|Y.Y.S.R.G.....METEOR|....A..COSMIC..R.O..
,,Crossword,Space Exploration,,,,,,10,0,5,Across,ASTEROID,"Rocky object orbiting the Sun, smaller than a planet",,,,,TELESCOPE.ASTEROID..|.C...R.L...P..O...M.|PLASMA.URANUS.COSMOS|.I...T.T.R.T..K.A.O.|.PROBE.ORION.NEPTUNE|.S.R.R...E.I..T.U...|.E.B..MARS.K....RING|...I..E.......SUN.O.|...TAURUS.VOID....V.|......C.T....U.SOLAR|...NEBULA.AXIS...Y..|......R.R.S..T...R.C|..GASSY...T.....HALO|G.R.....EARTH..J...M|A.APOLLO..O...HUBBLE|L.V...U.VENUS..P...T|ALIEN.N.I......I....|X.T.A.AURORA...T.L..|Y.Y.S.R.G.....METEOR|....A..COSMIC..R.O..
,,Crossword,Space Exploration,,,,,,0,2,9,Across,PLASMA,State of matter found in stars,,,,,TELESCOPE.ASTEROID..|.C...R.L...P..O...M.|PLASMA.URANUS.COSMOS|.I...T.T.R.T..K.A.O.|.PROBE.ORION.NEPTUNE|.S.R.R...E.I..T.U...|.E.B..MARS.K....RING|...I..E.......SUN.O.|...TAURUS.VOID....V.|......C.T....U.SOLAR|...NEBULA.AXIS...Y..|......R.R.S..T...R.C|..GASSY...T.....HALO|G.R.....EARTH..J...M|A.APOLLO..O...HUBBLE|L.V...U.VENUS..P...T|ALIEN.N.I......I....|X.T.A.AURORA...T.L..|Y.Y.S.R.G.....METEOR|....A..COSMIC..R.O..
,,Crossword,Space Exploration,,,,,,7,2,10,Across,URANUS,Ice giant planet that spins on its side,,,,,TELESCOPE.ASTEROID..|.C...R.L...P..O...M.|PLASMA.URANUS.COSMOS|.I...T.T.R.T..K.A.O.|.PROBE.ORION.NEPTUNE|.S.R.R...E.I..T.U...|.E.B..MARS.K....RING|...I..E.......SUN.O.|...TAURUS.VOID....V.|......C.T....U.SOLAR|...NEBULA.AXIS...Y..|......R.R.S..T...R.C|..GASSY...T.....HALO|G.R.....EARTH..J...M|A.APOLLO..O...HUBBLE|L.V...U.VENUS..P...T|ALIEN.N.I......I....|X.T.A.AURORA...T.L..|Y.Y.S.R.G.....METEOR|....A..COSMIC..R.O..
,,Crossword,Space Exploration,,,,,,14,2,12,Across,COSMOS,The universe as an ordered system,,,,,TELESCOPE.ASTEROID..|.C...R.L...P..O...M.|PLASMA.URANUS.COSMOS|.I...T.T.R.T..K.A.O.|.PROBE.ORION.NEPTUNE|.S.R.R...E.I..T.U...|.E.B..MARS.K....RING|...I..E.......SUN.O.|...TAURUS.VOID....V.|......C.T....U.SOLAR|...NEBULA.AXIS...Y..|......R.R.S..T...R.C|..GASSY...T.....HALO|G.R.....EARTH..J...M|A.APOLLO..O...HUBBLE|L.V...U.VENUS..P...T|ALIEN.N.I......I....|X.T.A.AURORA...T.L..|Y.Y.S.R.G.....METEOR|....A..COSMIC..R.O..
,,Crossword,Space Exploration,,,,,,1,4,14,Across,PROBE,Unmanned spacecraft for exploration,,,,,TELESCOPE.ASTEROID..|.C...R.L...P..O...M.|PLASMA.URANUS.COSMOS|.I...T.T.R.T..K.A.O.|.PROBE.ORION.NEPTUNE|.S.R.R...E.I..T.U...|.E.B..MARS.K....RING|...I..E.......SUN.O.|...TAURUS.VOID....V.|......C.T....U.SOLAR|...NEBULA.AXIS...Y..|......R.R.S..T...R.C|..GASSY...T.....HALO|G.R.....EARTH..J...M|A.APOLLO..O...HUBBLE|L.V...U.VENUS..P...T|ALIEN.N.I......I....|X.T.A.AURORA...T.L..|Y.Y.S.R.G.....METEOR|....A..COSMIC..R.O..
,,Crossword,Space Exploration,,,,,,7,4,16,Across,ORION,"Prominent constellation, the Hunter",,,,,TELESCOPE.ASTEROID..|.C...R.L...P..O...M.|PLASMA.URANUS.COSMOS|.I...T.T.R.T..K.A.O.|.PROBE.ORION.NEPTUNE|.S.R.R...E.I..T.U...|.E.B..MARS.K....RING|...I..E.......SUN.O.|...TAURUS.VOID....V.|......C.T....U.SOLAR|...NEBULA.AXIS...Y..|......R.R.S..T...R.C|..GASSY...T.....HALO|G.R.....EARTH..J...M|A.APOLLO..O...HUBBLE|L.V...U.VENUS..P...T|ALIEN.N.I......I....|X.T.A.AURORA...T.L..|Y.Y.S.R.G.....METEOR|....A..COSMIC..R.O..
,,Crossword,Space Exploration,,,,,,13,4,17,Across,NEPTUNE,Outermost gas giant with strong winds,,,,,TELESCOPE.ASTEROID..|.C...R.L...P..O...M.|PLASMA.URANUS.COSMOS|.I...T.T.R.T..K.A.O.|.PROBE.ORION.NEPTUNE|.S.R.R...E.I..T.U...|.E.B..MARS.K....RING|...I..E.......SUN.O.|...TAURUS.VOID....V.|......C.T....U.SOLAR|...NEBULA.AXIS...Y..|......R.R.S..T...R.C|..GASSY...T.....HALO|G.R.....EARTH..J...M|A.APOLLO..O...HUBBLE|L.V...U.VENUS..P...T|ALIEN.N.I......I....|X.T.A.AURORA...T.L..|Y.Y.S.R.G.....METEOR|....A..COSMIC..R.O..
,,Crossword,Space Exploration,,,,,,6,6,18,Across,MARS,"The Red Planet, fourth from the sun",,,,,TELESCOPE.ASTEROID..|.C...R.L...P..O...M.|PLASMA.URANUS.COSMOS|.I...T.T.R.T..K.A.O.|.PROBE.ORION.NEPTUNE|.S.R.R...E.I..T.U...|.E.B..MARS.K....RING|...I..E.......SUN.O.|...TAURUS.VOID....V.|......C.T....U.SOLAR|...NEBULA.AXIS...Y..|......R.R.S..T...R.C|..GASSY...T.....HALO|G.R.....EARTH..J...M|A.APOLLO..O...HUBBLE|L.V...U.VENUS..P...T|ALIEN.N.I......I....|X.T.A.AURORA...T.L..|Y.Y.S.R.G.....METEOR|....A..COSMIC..R.O..
,,Crossword,Space Exploration,,,,,,16,6,19,Across,RING,Feature around planets like Saturn,,,,,TELESCOPE.ASTEROID..|.C...R.L...P..O...M.|PLASMA.URANUS.COSMOS|.I...T.T.R.T..K.A.O.|.PROBE.ORION.NEPTUNE|.S.R.R...E.I..T.U...|.E.B..MARS.K....RING|...I..E.......SUN.O.|...TAURUS.VOID....V.|......C.T....U.SOLAR|...NEBULA.AXIS...Y..|......R.R.S..T...R.C|..GASSY...T.....HALO|G.R.....EARTH..J...M|A.APOLLO..O...HUBBLE|L.V...U.VENUS..P...T|ALIEN.N.I......I....|X.T.A.AURORA...T.L..|Y.Y.S.R.G.....METEOR|....A..COSMIC..R.O..
