Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Space Exploration,,,,,,0,0,1,Across,ASTEROID,Rocky object orbiting the sun,,,,,ASTEROID...M...|.A.C....P.COMET|.T.L.N..L..O...|JUPITER.URANUS.|.R.P.P..T......|.N.S.T.COSMOS..|N.VENUS..O.....|E....N.GALAXY..|B.METEOR.A.....|U.A....AURORA.C|LYRA.P.V..R...R|A.S.ORBIT.I...A|.....O.T.ROCKET|.....B.Y..N...E|.SPACEX....STAR
,,Crossword,Space Exploration,,,,,,10,1,6,Across,COMET,Icy body with a tail in space,,,,,ASTEROID...M...|.A.C....P.COMET|.T.L.N..L..O...|JUPITER.URANUS.|.R.P.P..T......|.N.S.T.COSMOS..|N.VENUS..O.....|E....N.GALAXY..|B.METEOR.A.....|U.A....AURORA.C|LYRA.P.V..R...R|A.S.ORBIT.I...A|.....O.T.ROCKET|.....B.Y..N...E|.SPACEX....STAR
,,Crossword,Space Exploration,,,,,,0,3,8,Across,JUPITER,Largest planet in our solar system,,,,,ASTEROID...M...|.A.C....P.COMET|.T.L.N..L..O...|JUPITER.URANUS.|.R.P.P..T......|.N.S.T.COSMOS..|N.VENUS..O.....|E....N.GALAXY..|B.METEOR.A.....|U.A....AURORA.C|LYRA.P.V..R...R|A.S.ORBIT.I...A|.....O.T.ROCKET|.....B.Y..N...E|.SPACEX....STAR
,,Crossword,Space Exploration,,,,,,8,3,9,Across,URANUS,"Seventh planet, an ice giant",,,,,ASTEROID...M...|.A.C....P.COMET|.T.L.N..L..O...|JUPITER.URANUS.|.R.P.P..T......|.N.S.T.COSMOS..|N.VENUS..O.....|E....N.GALAXY..|B.METEOR.A.....|U.A....AURORA.C|LYRA.P.V..R...R|A.S.ORBIT.I...A|.....O.T.ROCKET|.....B.Y..N...E|.SPACEX....STAR
,,Crossword,Space Exploration,,,,,,7,5,10,Across,COSMOS,The universe as an orderly whole,,,,,ASTEROID...M...|.A.C....P.COMET|.T.L.N..L..O...|JUPITER.URANUS.|.R.P.P..T......|.N.S.T.COSMOS..|N.VENUS..O.....|E....N.GALAXY..|B.METEOR.A.....|U.A....AURORA.C|LYRA.P.V..R...R|A.S.ORBIT.I...A|.....O.T.ROCKET|.....B.Y..N...E|.SPACEX....STAR
,,Crossword,Space Exploration,,,,,,2,6,13,Across,VENUS,"Second planet from the sun, very hot",,,,,ASTEROID...M...|.A.C....P.COMET|.T.L.N..L..O...|JUPITER.URANUS.|.R.P.P..T......|.N.S.T.COSMOS..|N.VENUS..O.....|E....N.GALAXY..|B.METEOR.A.....|U.A....AURORA.C|LYRA.P.V..R...R|A.S.ORBIT.I...A|.....O.T.ROCKET|.....B.Y..N...E|.SPACEX....STAR
,,Crossword,Space Exploration,,,,,,7,7,14,Across,GALAXY,"Our home, the Milky Way",,,,,ASTEROID...M...|.A.C....P.COMET|.T.L.N..L..O...|JUPITER.URANUS.|.R.P.P..T......|.N.S.T.COSMOS..|N.VENUS..O.....|E....N.GALAXY..|B.METEOR.A.....|U.A....AURORA.C|LYRA.P.V..R...R|A.S.ORBIT.I...A|.....O.T.ROCKET|.....B.Y..N...E|.SPACEX....STAR
,,Crossword,Space Exploration,,,,,,2,8,15,Across,METEOR,Streak of light from burning space rock,,,,,ASTEROID...M...|.A.C....P.COMET|.T.L.N..L..O...|JUPITER.URANUS.|.R.P.P..T......|.N.S.T.COSMOS..|N.VENUS..O.....|E....N.GALAXY..|B.METEOR.A.....|U.A....AURORA.C|LYRA.P.V..R...R|A.S.ORBIT.I...A|.....O.T.ROCKET|.....B.Y..N...E|.SPACEX....STAR
,,Crossword,Space Exploration,,,,,,7,9,16,Across,AURORA,Northern or Southern Lights phenomenon,,,,,ASTEROID...M...|.A.C....P.COMET|.T.L.N..L..O...|JUPITER.URANUS.|.R.P.P..T......|.N.S.T.COSMOS..|N.VENUS..O.....|E....N.GALAXY..|B.METEOR.A.....|U.A....AURORA.C|LYRA.P.V..R...R|A.S.ORBIT.I...A|.....O.T.ROCKET|.....B.Y..N...E|.SPACEX....STAR
,,Crossword,Space Exploration,,,,,,0,10,19,Across,LYRA,Constellation with the bright star Vega,,,,,ASTEROID...M...|.A.C....P.COMET|.T.L.N..L..O...|JUPITER.URANUS.|.R.P.P..T......|.N.S.T.COSMOS..|N.VENUS..O.....|E....N.GALAXY..|B.METEOR.A.....|U.A....AURORA.C|LYRA.P.V..R...R|A.S.ORBIT.I...A|.....O.T.ROCKET|.....B.Y..N...E|.SPACEX....STAR
