Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Sports Heroes,,,,,,0,0,1,Across,REFEREE,Official who controls a sports match,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,8,0,5,Across,CATCH,Secure a thrown ball,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,10,2,8,Across,ARENA,Large venue for sporting events,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,6,4,9,Across,PUTT,Stroke in golf towards the hole,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,10,5,11,Across,SCORE,Achieve points in a game,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,2,6,12,Across,FAN,Enthusiastic sports supporter,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,6,6,14,Across,SLIDE,Baseball maneuver to avoid a tag,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,10,7,15,Across,RACE,Competition of speed,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,4,8,16,Across,TRACK,Oval course for runners,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,0,10,18,Across,PITCH,Throw a baseball,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,6,10,20,Across,SWIM,Propel oneself through water,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,2,12,23,Across,JUMP,Spring into the air in track and field,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,9,12,24,Across,DRAFT,Select players for a team,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,6,14,25,Across,DRILL,Repetitive training exercise,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,0,0,1,Down,ROOKIE,First-year player in sports,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,2,0,2,Down,FIELD,Playing area for soccer or football,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,4,0,3,Down,RALLY,Exchange of strokes in tennis,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,6,0,4,Down,EQUIP,Provide gear for a sport,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,8,0,5,Down,COURT,Area for tennis or basketball,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,10,0,6,Down,TEAM,Group of athletes playing together,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,14,0,7,Down,LEAGUE,Group of sports teams,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,12,4,10,Down,COACH,Person who trains athletes,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,10,5,11,Down,SERVE,Start a point in volleyball or tennis,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,2,6,12,Down,FIGHT,Boxing match,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,4,6,13,Down,NET,Barrier in tennis or volleyball,,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
,,Crossword,Sports Heroes,,,,,,6,6,14,Down,STATS,"Player performance numbers, for short",,,,,REFEREE.CATCH.L|O.I.A.Q.O.E...E|O.E.L.U.U.ARENA|K.L.L.I.R.M...G|I.D.Y.PUTT..C.U|E.........SCORE|..FAN.SLIDE.A..|..I.E.T...RACE.|..G.TRACK.V.H..|S.H...T...E....|PITCH.SWIM.G...|I..L.....E.O...|K.JUMP...DRAFT.|E..B.....A.L...|......DRILL....
