Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,World Capitals,,,,,,0,0,1,Across,GLACIER,"Large, slow-moving mass of ice",,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,11,0,4,Across,SOIL,Earth's top layer where plants grow,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,7,1,6,Across,COAST,Land along a sea or ocean,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,2,2,7,Across,RIVER,"Natural flowing watercourse, often to a sea",,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,7,3,9,Across,DELTA,Triangular landform at a river's mouth,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,2,6,10,Across,WEATHER,Daily atmospheric conditions,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,7,8,12,Across,TIDE,Rise and fall of sea level,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,10,9,15,Across,FJORD,Narrow inlet of the sea between cliffs,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,2,10,17,Across,SWAMP,Wetland with muddy land and trees,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,10,11,20,Across,OCEAN,Vast body of saltwater covering much of Earth,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,5,12,22,Across,OASIS,Fertile spot in a desert with water,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,0,13,23,Across,CANAL,Man-made waterway for boats or irrigation,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,8,14,24,Across,LAKE,Large body of water surrounded by land,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,0,0,1,Down,GULF,"Large bay, an arm of a sea or ocean",,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,3,0,2,Down,CLIMATE,Long-term weather patterns of a region,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,9,0,3,Down,VALLEY,Low area between hills or mountains,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,11,0,4,Down,STRAIT,Narrow water passage connecting two seas,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
,,Crossword,World Capitals,,,,,,13,0,5,Down,ISLAND,Land mass completely surrounded by water,,,,,GLACIER..V.SOIL|U..L...COAST.S.|L.RIVER..L.R.L.|F..M.Q.DELTA.A.|...A.U.E.E.I.N.|...T.A.S.Y.T.D.|..WEATHER.R....|.....O.R..E....|.....R.TIDE.P..|....B.....FJORD|..SWAMP.....L.U|..O.Y.L.H.OCEAN|..U..OASIS.A..E|CANAL.I.L..V...|..D...N.LAKE...
